addr_val,addr_name,did_core_name0,did_core_name1,did_core_name2,did_suffix_name,append_add_num,offset_to_local,is_it_used,addr_type,1mi_x_val,1mi_rtv_val,1mi_avg_val,1mi_sdv_val,5mi_x_val,5mi_rtv_val,5mi_avg_val,5mi_sdv_val,15mi_sdv_val,15mi_avg_val,15mi_x_val
154,13号风机风机状态,风机,13,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
156,14号风机有功功率,风机,14,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
158,14号风机无功功率,风机,14,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
160,14号风机风速,风机,14,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
162,14号风机风向,风机,14,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
164,14号风机发电机转速,风机,14,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
166,14号风机风机状态,风机,14,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
168,15号风机有功功率,风机,15,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
170,15号风机无功功率,风机,15,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
172,15号风机风速,风机,15,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
174,15号风机风向,风机,15,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
176,15号风机发电机转速,风机,15,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
178,15号风机风机状态,风机,15,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
180,16号风机有功功率,风机,16,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
182,16号风机无功功率,风机,16,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
184,16号风机风速,风机,16,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
186,16号风机风向,风机,16,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
188,16号风机发电机转速,风机,16,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
190,16号风机风机状态,风机,16,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
192,17号风机有功功率,风机,17,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
194,17号风机无功功率,风机,17,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
